"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","lon","lat"
"The_ukatheist","Those who see the liberation of atheism but are stranded in religion due to social or family pressures are the people I feel for most. Atheism Religion Politics",2604,1666,1745,1639,NA,"The Uk Atheist",2015-12-05 15:53:09,FALSE,FALSE,"The_ukatheist","London","en-GB","4384482143",32,FALSE,"http://pbs.twimg.com/profile_images/683303734466768896/382sXmG5_normal.jpg",-0.1277583,51.5073509
"uk_disgrace","",53471,1258,36555,945,NA,"UK Disgrace",2015-06-02 23:29:58,FALSE,FALSE,"uk_disgrace","","en","3234397549",194,FALSE,"http://pbs.twimg.com/profile_images/638288506016649221/L_3sCVRY_normal.jpg",NA,NA
"RoboHoward","",31035,850,5823,674,NA,"Robyn Howard",2013-03-31 05:34:10,FALSE,FALSE,"RoboHoward","Victoria","en","1317782702",45,FALSE,"http://pbs.twimg.com/profile_images/786464741736656896/xGLYNc1j_normal.jpg",-97.0035982,28.8052674
"verzetsbeweging","95%#Nationalist 5% diversiteit..Turkije voor de Turken..NL voor de NL'ders! CD, LPF en #PVV'er..100% Anti-Islam..Voor Eigenheid en Vaderlandsliefde! #BlueHand ŸÜ",4718,2150,4079,2055,NA,"Ì†ΩÌ∞∫WolfbreedÌ†ΩÌ∞∏",2015-12-31 23:42:12,FALSE,FALSE,"verzetsbeweging","","nl","4670902697",18,FALSE,"http://pbs.twimg.com/profile_images/803742495909834752/r52oIpDI_normal.jpg",NA,NA
"PeralJack","Wherever I stand, I stand with Israel.",11763,583,14810,859,NA,"Jack Peral",2016-10-15 18:55:26,FALSE,FALSE,"PeralJack","","es","787366288029016064",31,FALSE,"http://pbs.twimg.com/profile_images/792356424391266304/mscFanfY_normal.jpg",NA,NA
"Normac1211","",11903,347,27795,199,NA,"Normac12",2015-09-27 12:35:25,FALSE,FALSE,"Normac1211","","en","3703552944",39,FALSE,"http://pbs.twimg.com/profile_images/668809380976963584/BbHb-6Yy_normal.jpg",NA,NA
"rgenci57","B+....standing against everything that is wrong. #Atheist #Centrist . Anti-Islam, Anti-SJW, Anti-PC, Pro-Freedom #FreeSpeech #NoNazis No DM's please.",110227,9049,88823,5822,NA,"R&G",2014-09-21 11:28:21,FALSE,FALSE,"rgenci57","","en","2824018164",142,FALSE,"http://pbs.twimg.com/profile_images/726545818207936512/cuymruXW_normal.jpg",NA,NA
"AnewTrackrecord","With the darkness closing in, will the light reveal your soul ? \M/ #Colts #IndyCar #Cubs",162763,62225,90231,61482,"https://t.co/1Jw26OjGAP","Captain Sunshine‚Ñ¢",2011-05-12 15:04:49,FALSE,FALSE,"AnewTrackrecord","Indianapolis USA ","en","297457814",477,FALSE,"http://pbs.twimg.com/profile_images/804664248236474370/T1PXhTiU_normal.jpg",-86.158068,39.768403
"laurie6805","Service Connected Disabled Veteran, standing 4 #Veterans rights. https://t.co/ihmGsHKgvq #DefundVA proudly Ì†ΩÌ∫´ by the Dallas VA #2A Christian",46697,6027,36431,5077,"https://t.co/ihmGsHKgvq","Laurie VOTED TRUMP",2015-03-18 03:28:29,FALSE,FALSE,"laurie6805","Plano, TX","en","3093907031",191,FALSE,"http://pbs.twimg.com/profile_images/802785291799040000/EXkvmK5G_normal.jpg",-96.6988856,33.0198431
"parentchain","",29081,519,10926,739,NA,"ParentChain",2015-04-22 09:12:55,FALSE,FALSE,"parentchain","","en-gb","3194177710",44,FALSE,"http://pbs.twimg.com/profile_images/591729848034394112/wHLsP64Y_normal.jpg",NA,NA
"Wiseyone81","ClassicalLib-Humanist-CAGWSceptic H8=Jihad-Globalism-OverPop Myth-Royalty-Weed ‚ô•=Brexit-Trump-FossilFuel-1776-Israel-1&2A-A.Rand-T.Paine https://t.co/nBdWyJydXr",12432,1600,222,5001,NA,"Kris Wiese",2011-11-30 17:27:52,FALSE,FALSE,"Wiseyone81","England, United Kingdom","en","425181608",21,FALSE,"http://pbs.twimg.com/profile_images/737997670845943809/Q8vgcAyj_normal.jpg",-1.1743197,52.3555177
"OldmanLogan2008","Hooligan, Aspiring Writer, Artist, and Cook.                                                   Not trying to get famous, just trying to get known.",22388,268,17138,138,NA,"Christopher Gordon",2013-08-30 08:11:29,FALSE,FALSE,"OldmanLogan2008","Virginia","en","1712097372",56,FALSE,"http://pbs.twimg.com/profile_images/378800000383731663/20e216df4a38cb9ae5803d9181165975_normal.jpeg",-78.6568942,37.4315734
"dwarfFrandguy","I'm a dwarf\little person.I'm Canadian- American.Assertive.Friend & supporter of IsraeI.Frand of Christina Grimmie. Hobbit name is Drogo Sandybanks. Thanks MB:)",152847,2992,50542,3495,NA,"Deplorable DavidHill",2012-08-04 19:35:28,FALSE,FALSE,"dwarfFrandguy","WithLove StandingWithIsrael","en","737291432",195,FALSE,"http://pbs.twimg.com/profile_images/654807436776177666/HyqYTs1P_normal.png",NA,NA
"MaraxFaraii","Marax does not seek to intimidate.This spirit seeks to test you to ensure that you're ready for the high-level information that Marax will provide.",1134,44,578,134,"https://t.co/2e6lTvqIlI","Marax Faraii",2015-11-18 06:35:18,FALSE,FALSE,"MaraxFaraii","","en","4276033993",5,FALSE,"http://pbs.twimg.com/profile_images/668614769704701952/bfgHyr0z_normal.jpg",NA,NA
"Toronto_Bot","I don't understand Toronto.",3172,43,0,1,NA,"Toronto_Bot",2016-10-24 22:08:19,FALSE,FALSE,"Toronto_Bot","","en","790676320388845568",46,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_6_normal.png",NA,NA
"iDeepakKapoor","Hindu First, then a Hindustani. Support NaMo, but not a Bhakt, Yami Fan, Anti Drama Politics of AAP. RTs # Endorsement",36357,3120,8097,143,NA,"Deepak",2015-09-20 18:36:26,FALSE,FALSE,"iDeepakKapoor","Hearts of Loved ones","en","3629572694",74,FALSE,"http://pbs.twimg.com/profile_images/793274546560176129/qeSjsJZ6_normal.jpg",NA,NA
"amysteron","Englishman. Barrister. Sometime Lecturer in Law. Mediaevalist manqu√©. Dog-lover. Linux coder. Science junkie. Sinophile. Hates the Human Rights industry & EU.",15230,1476,18364,1707,"https://t.co/aPmOYBHZWp","Col. Mortimer",2009-10-18 18:56:30,FALSE,FALSE,"amysteron","UK","en","83420146",38,FALSE,"http://pbs.twimg.com/profile_images/798141957813968896/xDZxZfu4_normal.jpg",-3.435973,55.378051
"Hohummm","",16344,450,3652,1427,NA,"Ho Hum",2010-08-13 04:50:07,FALSE,FALSE,"Hohummm","","en","177831593",36,FALSE,"http://pbs.twimg.com/profile_images/690841031936385024/PymNa3pS_normal.png",NA,NA
