"","lat","long","accuracy","formatted_address","address_type","status","index"
"132",34.0555693,-117.1825381,"locality","Redlands, CA, USA","locality,political","OK",131
"133",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",132
"134",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",133
"135",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",134
"136",38.8026097,-116.419389,"administrative_area_level_1","Nevada, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",135
"137",38.8026097,-116.419389,"administrative_area_level_1","Nevada, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",136
"138",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",137
"139",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",138
"140",38.8026097,-116.419389,"administrative_area_level_1","Nevada, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",139
"141",39.5500507,-105.7820674,"administrative_area_level_1","Colorado, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",140
"142",47.7510741,-120.7401386,"administrative_area_level_1","Washington, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",141
"143",41.2033216,-77.1945247,"administrative_area_level_1","Pennsylvania, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",142
"144",33.4483771,-112.0740373,"locality","Phoenix, AZ, USA","locality,political","OK",143
"145",33.4483771,-112.0740373,"locality","Phoenix, AZ, USA","locality,political","OK",144
"146",38.8026097,-116.419389,"administrative_area_level_1","Nevada, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",145
"147",39.011902,-98.4842465,"administrative_area_level_1","Kansas, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",146
"148",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",147
"149",30.4382559,-84.2807329,"locality","Tallahassee, FL, USA","locality,political","OK",148
"150",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",149
"151",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",150
"152",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",151
"153",31.3151708,-85.8552161,"locality","Enterprise, AL 36330, USA","locality,political","OK",152
"154",33.4483771,-112.0740373,"locality","Phoenix, AZ, USA","locality,political","OK",153
"155",38.8026097,-116.419389,"administrative_area_level_1","Nevada, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",154
"156",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",155
"157",32.1656221,-82.9000751,"administrative_area_level_1","Georgia, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",156
"158",32.1656221,-82.9000751,"administrative_area_level_1","Georgia, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",157
